Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
2.70,3.85,44000,0,4,0,1,1,1
6.40,9.13,80000,0,5,1,0,1,1
6.50,9.27,125000,0,5,1,0,1,1
4.10,5.35,13500,0,3,0,1,1,1
1.65,5.49,75000,0,9,0,1,1,1
0.80,4.54,120000,1,13,0,1,1,1
5.35,30.36,120000,0,8,1,0,1,1
7.00,15.22,70000,0,7,1,0,1,1
5.50,11.96,70000,0,7,1,0,1,1
6.80,7.27,15000,0,1,0,1,1,0
2.00,8.69,53000,1,11,0,1,1,1
5.00,9.73,120000,1,6,1,0,1,1
10.00,14.27,70000,0,4,1,0,1,1
1.10,5.46,120000,1,12,0,1,1,1
3.20,15.89,100000,1,8,0,1,1,1
3.50,17.38,100000,0,5,0,1,1,1
1.70,3.70,162500,0,7,1,0,1,1
8.00,10.44,39000,0,3,1,0,1,1
5.00,6.53,75000,0,3,1,0,1,1
13.80,18.01,50000,0,3,1,0,1,0
13.00,13.90,40000,0,1,1,0,1,1
5.30,11.52,92500,0,7,1,0,1,1
3.60,7.83,158000,0,8,1,0,1,1
3.10,6.74,120000,0,8,1,0,1,1
7.25,15.76,50000,1,5,1,0,1,1
3.40,7.39,110000,0,8,1,0,1,1
5.50,7.18,2000,1,3,1,0,1,1
11.50,38.25,181000,1,9,1,0,1,1
3.80,5.42,70000,0,4,1,0,1,1
3.50,7.61,90000,1,7,0,1,1,0
6.10,6.52,2000,0,1,0,1,1,1
5.25,5.61,20000,0,5,0,1,1,1
4.80,15.96,120000,0,9,1,0,1,1
7.80,10.18,35000,0,3,1,0,1,1
3.20,4.18,193000,0,8,1,0,1,1
3.75,7.30,80000,0,6,0,1,1,1
3.00,3.21,40000,0,1,0,1,1,1
5.00,5.35,70000,2,5,1,0,1,1
4.04,13.44,122358,0,9,1,0,1,1
5.00,16.63,75000,0,5,1,0,1,1
3.50,4.57,120000,0,3,1,0,1,1
3.80,4.96,40000,0,5,0,1,1,1
1.15,5.71,95200,2,12,0,1,1,1
3.35,6.52,33033,0,6,0,1,0,1
4.65,9.05,63063,0,5,0,1,0,0
2.90,5.64,60000,0,8,1,0,1,1
1.10,8.15,45000,1,15,0,1,1,1
4.50,14.97,80000,2,9,1,0,1,1
4.00,17.38,170000,1,11,1,0,1,1
2.10,11.92,207890,1,13,1,0,1,1
46.00,261.01,7976,0,2,1,0,1,0
2.20,3.14,35000,0,4,0,1,1,1
4.50,5.87,35000,0,3,0,1,1,1
4.50,5.87,35000,0,3,0,1,1,1
2.90,6.30,50000,0,7,0,1,1,0
5.20,7.42,20000,0,4,0,1,1,1
2.65,8.81,20000,0,9,0,1,1,0
3.30,10.98,50000,1,8,0,1,1,1
3.30,10.98,50000,1,8,0,1,1,1
5.10,9.92,120000,0,6,1,0,1,1
5.00,9.73,70000,0,6,0,1,1,1
5.25,10.21,50000,0,5,0,1,1,1
6.75,7.22,16500,0,1,0,1,1,1
3.00,11.40,70000,0,10,0,1,1,1
0.90,6.67,99361,1,15,0,1,1,1
6.50,8.48,25000,0,3,1,0,1,1
4.09,7.96,70000,1,6,0,1,1,1
3.95,7.69,80000,1,5,1,0,1,1
4.00,7.78,70000,1,6,0,1,1,1
1.20,2.33,60000,2,8,0,1,1,1
6.45,12.55,10000,0,2,0,1,1,0
0.81,5.25,80000,0,14,0,1,1,1
13.00,16.97,30000,0,3,1,0,1,1
12.50,16.32,33000,0,3,1,0,1,1
5.35,11.63,90000,2,7,0,1,1,1
5.55,10.80,80100,1,6,1,0,1,1
7.25,14.11,120000,0,6,0,1,1,1
2.30,3.28,40000,0,4,0,1,1,1
8.00,17.39,160000,1,7,1,0,1,1
4.10,5.35,47000,0,3,0,1,1,1
12.10,15.80,25000,0,2,1,0,1,1
4.00,5.22,26000,0,3,0,1,1,1
5.20,6.79,29000,0,2,1,0,1,1
6.50,9.27,50000,0,4,0,1,1,0
3.25,10.81,58000,2,9,0,1,1,1
4.20,13.97,120000,0,8,0,1,1,0
4.00,7.78,50000,0,6,0,1,1,1
2.55,9.69,80000,2,10,0,1,1,1
0.65,6.29,60000,2,17,0,1,1,1
3.51,4.58,36000,0,3,0,1,1,1
4.04,22.92,120000,2,13,1,0,1,1
1.85,6.15,185000,2,9,1,0,1,1
2.50,8.32,50000,0,9,1,0,1,1
0.60,6.64,100000,2,18,0,1,1,1
5.00,10.87,50000,1,7,0,1,1,1
0.85,4.82,80000,1,13,0,1,1,1
0.85,6.30,80000,2,15,0,1,1,1
2.65,8.81,90000,2,9,1,0,1,1
1.30,4.94,162000,1,10,0,1,1,1
4.80,10.43,110000,2,7,1,0,1,1
1.70,8.44,120000,2,12,1,0,1,1
2.75,9.15,45000,0,9,1,0,1,1
